username,twhandle,postdate,content,responding,reply,retweet,like
NE OLACAK TÜRKİYE,@Gemide81,2021-07-28T15:37:02.000Z,"#RTE nın geçmişteki sözleri ile çelişen Afgan politikası 
https://youtu.be/4X44dm4C4t0

#Antalya #Manavgat #Matematik #AliKoç #Borsa #Otdü #Otel #GSvPSV #TunçSoyer #MuhittinBöcek #bolubelediyesi
#Avusturya #Fransa #Adana #SüperLig #yks2021 #DavidKeynes #Mezun #Akp #Chp #Mhp #","RECEP TAYYİP ERDOĞAN'IN Göçmenler hakkında düşünceleri.
youtube.com",,,,"['RTE', 'Antalya', 'Manavgat', 'Matematik', 'AliKoç', 'Borsa', 'Otdü', 'Otel', 'GSvPSV', 'TunçSoyer', 'MuhittinBöcek', 'bolubelediyesi', 'Avusturya', 'Fransa', 'Adana', 'SüperLig', 'yks2021', 'DavidKeynes', 'Mezun', 'Akp', 'Chp', 'Mhp']"
sayıların.efendisi,@mathis43463593,2021-07-28T13:00:12.000Z,"#yks2021 #yks2021tayfa #borsa #Manavgat #OYunBİTTİakp 

arkadaşlar 3 ayda tyt ayt #matematik bitirecek şekilde zoom ders grubu kuruyorum .. ilgilenen yazsın.. #istanbul  içi olanlara birebir ders imkanı  

ig:  umit.math.geo",,,,1,"['yks2021', 'yks2021tayfa', 'borsa', 'Manavgat', 'OYunBİTTİakp', 'matematik', 'istanbul']"
AndreMarques,@andregemat01,2021-07-28T12:30:11.000Z,#matematik #Math #mathematics #Mathematician #matematica #Russianwife,,,,,"['matematik', 'Math', 'mathematics', 'Mathematician', 'matematica', 'Russianwife']"
Furkan Sönmez,@mathsmodeling,2021-07-28T12:29:52.000Z,"""Hocam,sen neler yapıyorsun böyle hele bir anlat"" diyenler için  #matematikeğitimi #matematik #matematikselmodelleme","MEET UP '21 - Matematik Eğitiminde Matematiksel Modelleme Yaklaşımı
Bahadır Furkan Sönmez, Özhan Demirci, Gülünay Erkut, Tuğba Coşkun, Tahsin Dizren, Egemen Yurdakul ve Devrim Melekoğlu, “Matematik Eğitiminde Matematiksel Mod...
youtube.com",,,,"['matematikeğitimi', 'matematik', 'matematikselmodelleme']"
Merve İrengü,@IrenguMerve,2021-07-28T11:44:16.000Z,#yks2021 #yks #online #onlineözelders #matematik #geometrl #tyt #tytyibitiriyorz,,,,1,"['yks2021', 'yks', 'online', 'onlineözelders', 'matematik', 'geometrl', 'tyt', 'tytyibitiriyorz']"
melike,@mmlkcn,2021-07-28T11:07:59.000Z,"#miniminibirler 
Daha çok yolun başındayım. Ali ata bak ile okuma yazma öğrenmiştim oysa ama karşıma çıkan elakin  çocuğumdan önce kendimi yetiştiriyorum.  
@tcmeb
 yeni müfredatı #matematik   yaşım hep çocuk ",,,,,"['miniminibirler', 'matematik']"
Saksı Kampüs,@SaksiKampus,2021-07-28T10:49:00.000Z,#SaksıKampüs #uygulama #app #soru #soruçözümü #üniversite #matematik #fizik #kimya #işletme #iktisat,,,,,"['SaksıKampüs', 'uygulama', 'app', 'soru', 'soruçözümü', 'üniversite', 'matematik', 'fizik', 'kimya', 'işletme', 'iktisat']"
MathsCatchJDT -Tuisyen-,@mathscatchJDT,2021-07-27T03:02:36.000Z,"Angka Bererti

#math #matematik #number #point",,,,1,"['math', 'matematik', 'number', 'point']"
Begthedead (π),@Begthemath,2021-07-26T21:59:53.000Z,"O sırada 3boyutlu uzayda 2boyutlu #elips, #parabol, #hiperbol gibi yörünge çizen 1 cismin hareketini açıklayan #diferansiyeldenklem örneği çözüyor olduğumdan bahsetmedim babama.
Hesapladım faizini.
#kepleryörüngesi #matematik #fizik 
#gökmekaniği #astronomi",,,,,"['elips', 'parabol', 'hiperbol', 'diferansiyeldenklem', 'kepleryörüngesi', 'matematik', 'fizik', 'gökmekaniği', 'astronomi']"
Bilgi Koçu-Cemal Hoca,@BilgiKocunuz,2021-07-26T20:07:23.000Z,"Eğitim geleceğimizdir, eğitim her şeydir. Okullar bedeli ne olursa olsun açılmak zorunda
#eğitim #uzaktaneğitim #özelders #beylikdüzü #matematik #ingilizce","Quote Tweet
T24
@t24comtr
 · Jul 26
DSÖ: Covid-19 en çok okul çağındakilerin akıl sağlığını etkiledi
https://t24.com.tr/haber/dso-covid-19-en-cok-okul-cagindakilerin-akil-sagligini-etkiledi,968203…",,,,"['eğitim', 'uzaktaneğitim', 'özelders', 'beylikdüzü', 'matematik', 'ingilizce']"
Matematik,@matogretmenleri,2021-07-26T19:03:43.000Z,"#Tokyo2020 bireysel bisiklet
yarışında altın madalya kazanan Anne Kiesenhofer, aynı zamanda EPFL #matematik bölümünde doktora sonrası araştırmacı. Yüksek lisansı da Cambridge'den. ",,,,3,"['Tokyo2020', 'matematik']"
MATHKAFA,@mathkafa00,2021-07-26T17:46:51.000Z,#özelders #matematik #geometri #yös #integral #ayt #öabtmatematik #ff #gt #takip #mathematics #math #ders #online #özel #birebir,,4,2,32,"['özelders', 'matematik', 'geometri', 'yös', 'integral', 'ayt', 'öabtmatematik', 'ff', 'gt', 'takip', 'mathematics', 'math', 'ders', 'online', 'özel', 'birebir']"
MATHKAFA,@mathkafa00,2021-07-26T17:44:05.000Z,#özelders #matematik #geometri #yös #integral #ayt #öabtmatematik #ff #gt #takip,,1,,8,"['özelders', 'matematik', 'geometri', 'yös', 'integral', 'ayt', 'öabtmatematik', 'ff', 'gt', 'takip']"
Sınırsız Çeviri,@sinirsizceviri,2021-07-25T17:58:32.000Z,"Günümüzün en saygın fizikçilerinden Leonard Susskind'in neden matematiğe ihtiyaç duyduğumuzla ilgili kısa bir konuşması;
https://youtube.com/watch?v=rXOuTUNS8Y4…

#matematik #leonardsusskind","Leonard Susskind - Matematik neden işe yarıyor?
Günümüz fiziğinin en önemli isimlerinden, sicim teorisinin babalarından birisi olarak nitelendirilen Leonard Susskind neden matematiğe ihtiyacımız olduğunu a...
youtube.com",,,1,"['matematik', 'leonardsusskind']"
Science on Stage Türkiye,@StageTurkiye,2021-07-25T16:54:39.000Z,"Başvuru formunu doldurup mail adresimize yollayarak bize ulaşabilirsiniz.
 scienceonstagetr@gmail.com

#scienceonstage #scienceonstageeurope #scienceonstagetr #scienceonstagetürkiye
#ekipedu 
#science #bilim #Stem #Fen #Öğretmen #matematik",,,1,2,"['scienceonstage', 'scienceonstageeurope', 'scienceonstagetr', 'scienceonstagetürkiye', 'ekipedu', 'science', 'bilim', 'Stem', 'Fen', 'Öğretmen', 'matematik']"
MathsCatchJDT -Tuisyen-,@mathscatchJDT,2021-07-25T08:46:53.000Z,"Nisbah Trigonimetri

#math #matematik #trigo #note",,,,2,"['math', 'matematik', 'trigo', 'note']"
Gökhan Sağlam,@_gokhansaglam_,2021-07-25T08:10:58.000Z,"#öğretmen #gönüllüler #gönüllüöğretmenler #okul #eğitim
#öğretmenler #eğitimdefırsateşitliği
#türkçe #matematik #tarih #coğrafya #fizik #kimya #biyoloji 
#türkçeöğretmeni #matematiköğretmeni #tarihöğretmenliği #coğrafyaöğretmeni #fiziköğretmeni",,1,,1,"['öğretmen', 'gönüllüler', 'gönüllüöğretmenler', 'okul', 'eğitim', 'öğretmenler', 'eğitimdefırsateşitliği', 'türkçe', 'matematik', 'tarih', 'coğrafya', 'fizik', 'kimya', 'biyoloji', 'türkçeöğretmeni', 'matematiköğretmeni', 'tarihöğretmenliği', 'coğrafyaöğretmeni', 'fiziköğretmeni']"
_S p a g h e t t y_,@Spaghet49289511,2021-07-25T08:02:13.000Z,"Resolvamos esto de una vez... Les gusta más el arte o las matemáticas? 
#matematik #arte #Memes","Matemáticas
0%
Arte
0%
0 votes
·
Final results",,,1,"['matematik', 'arte', 'Memes']"
Trabzon Gönüllüler Derneği,@trbzngonulluler,2021-07-25T07:13:29.000Z,"#öğretmen #gönüllüler #gönüllüöğretmenler #okul #eğitim
#öğretmenler #eğitimdefırsateşitliği
#türkçe #matematik #tarih #coğrafya #fizik #kimya #biyoloji 
#türkçeöğretmeni #matematiköğretmeni #tarihöğretmenliği #coğrafyaöğretmeni #fiziköğretmeni #kimyaöğretmeni #biyolojiöğretmeni",,1,,,"['öğretmen', 'gönüllüler', 'gönüllüöğretmenler', 'okul', 'eğitim', 'öğretmenler', 'eğitimdefırsateşitliği', 'türkçe', 'matematik', 'tarih', 'coğrafya', 'fizik', 'kimya', 'biyoloji', 'türkçeöğretmeni', 'matematiköğretmeni', 'tarihöğretmenliği', 'coğrafyaöğretmeni', 'fiziköğretmeni', 'kimyaöğretmeni', 'biyolojiöğretmeni']"
edoram,@yazilimgrup,2021-07-24T23:47:31.000Z,"https://bit.ly/3y2lOA1

#Werder | #svwh96 #BBNaija  #LaVidaQueQueremos Tinelli #kpss #ogretmen #tyt #ayt #lgs #ales #matematik #mathematics #pratical #idea #intelligent #clever #Smart",,,,,"['Werder', 'svwh96', 'BBNaija', 'LaVidaQueQueremos', 'kpss', 'ogretmen', 'tyt', 'ayt', 'lgs', 'ales', 'matematik', 'mathematics', 'pratical', 'idea', 'intelligent', 'clever', 'Smart']"
MATHKAFA,@mathkafa00,2021-07-24T23:04:25.000Z,#matematik #geometri #mathematics #geometry #ayt #tyt #öabtmatematik,"Quote Tweet
Gökhan Koçkar
@GokhanKockar
 · Jul 25
Arkadaşlar kuvvet teo. yararlanarak cözdüm farklı bir çözüm çok güzel olur",2,1,12,"['matematik', 'geometri', 'mathematics', 'geometry', 'ayt', 'tyt', 'öabtmatematik']"
Hamza Aytaç DOĞANAY,@4n6_tur,2021-07-24T22:49:21.000Z,"Sıradan bir matematik sorusu, basit olduğu kadar eğlenceli de.
~Dikkatli çözün!

230 - 220 x 0.5 = ?

Muhtemelen inanmayacaksınız ama cevap 5!

#matematik #kriptoloji 
(kj_cheetham)",,,,1,"['matematik', 'kriptoloji']"
eren gundoğan,@kitapcieren,2021-07-24T21:29:59.000Z,"Replying to 
@dirilispostasi",https://gundogankitap.blogspot.com/2021/07/fosiller-doga-ve-insan.html… #bilimtarihi #bilim #sosyoloji #matematik #coğrafya #doğabilimleri #felsefe #akıl,,,,[]
Monika,@Monika20214121,2021-07-24T03:19:06.000Z,HAPPY GURU PURNIMA TO ALL #maths #matematik,Monika,,,,"['maths', 'matematik']"
eren gundoğan,@kitapcieren,2021-07-23T22:22:11.000Z,"Replying to 
@AvOzlemZengin",https://gundogankitap.blogspot.com/2021/07/fosiller-doga-ve-insan.html… #bilimtarihi #bilim #sosyoloji #matematik #coğrafya #doğabilimleri #felsefe #akıl,,,,[]
eren gundoğan,@kitapcieren,2021-07-23T22:08:50.000Z,"Replying to 
@ersinrtatar",https://gundogankitap.blogspot.com/2021/07/fosiller-doga-ve-insan.html… #bilimtarihi #bilim #sosyoloji #matematik #coğrafya #doğabilimleri #felsefe #akıl,,,,[]
Eylül',@eyluldenl,2021-07-23T20:08:24.000Z,"Biri var üstüne gittikçe kaçıyor,ümidi kesince üstüme üstüme geliyor bir türlü açılamıyorum...#matematik",,,,4,['matematik']
العروة الوثقى,@_ilim_talebesi_,2021-07-23T19:25:25.000Z,"Daha önce bu şekilde işlem yapmış mıydın?
#Aşıkartızulümdür #matematik","Quote Tweet
Müthiş Bilim
@muthisbilimnet
 · Jul 23
Evrenin Dili Matematiktir.
0:27
29.7K views",,2,6,"['Aşıkartızulümdür', 'matematik']"
Çocukluktan Gelen,@cocukluktangeln,2021-07-23T18:47:09.000Z,"Sizce ""Grafik” ne demek?

Daha önce hiç merak etmiş miydiniz?

Cevabınızı yorumlara yazabilirsiniz 

#korkundegiltutkunolsun
#cocukluktangelen
#matematik #terim #cebir
#matematiksözlüğü
#istanbulüniversitesi
#matematikterimleriÇG",,,,3,"['korkundegiltutkunolsun', 'cocukluktangelen', 'matematik', 'terim', 'cebir', 'matematiksözlüğü', 'istanbulüniversitesi', 'matematikterimleriÇG']"
ömür okur,@omurokur,2021-07-23T17:17:46.000Z,"Trafikten ekonomi değerlendirilmez. Ekonomi yorumu için insanın aynı ürünleri ne kadara alıyordu şimdi ne kadara alıyor değerlendirmesi yapmak gereklidir. #analiz #değerlendirme #ekonomi #matematik #trafik

https://omurokur.com/2021/07/trafik-yogunlugu-ile-ekonomi-analizi/…",,,,,"['analiz', 'değerlendirme', 'ekonomi', 'matematik', 'trafik']"
Matematik Bitmiştir,@mat_bitmistir,2021-07-23T17:17:35.000Z,"https://matematikbitmistir.com/online-ders/
#Online #onlineders #matematik #ozelders #özelders","Online Ders İlkokul-Ortaokul-Lise-LGS-DGS-ALES-KPSS-YKS
Online Ders İlkokul-Ortaokul-Lise-LGS-DGS-ALES-KPSS-YKS-YÖS Matematik Özel Ders - Çevrimiçi Matematik Özel Ders - Uzaktan Eğitim
matematikbitmistir.com",,,,"['Online', 'onlineders', 'matematik', 'ozelders', 'özelders']"
