username,twhandle,postdate,content,responding,reply,retweet,like
Parakule,@Parakulecom,2021-07-29T11:44:27.000Z,"http://parakule.com sponsorluğunda yapılacak olan Para Piyasaları Değerlendirme Sempozyumu'na davetlisiniz
#parakule #ekonomi #sempozyum","0:54
245 views",,,6
dika.reza,@dikareza6,2021-07-30T06:10:08.000Z,"Pengawasan Penyaluran Bantuan Sosial
#Ekonomi #Indonesia #Bansos",,,,1
Köy Kahvesi,@KOYKAHVESI,2021-07-29T11:37:16.000Z,"BAKAN PAKDEMİRLİ: ""TARIMSAL İHRACAT 20,7 MİLYAR DOLARA ULAŞTI""  https://koykahvesi.com.tr/ekonomi/bakan-pakdemirli-tarimsal-ihracat-207-milyar-dolara-ulasti.html… #tarım #ihracat #ekonomi",,,,1
olay.com.tr,@OlayHaber_Bursa,2021-07-29T10:29:47.000Z,"TMFS'den Sürat Kargo açıklaması! Flaş teklif ortaya çıktı

https://olay.com.tr/tmfsden-surat-kargo-aciklamasi-flas-teklif-ortaya-cikti-824916… #haber #sondakika #Ekonomi",,,,
Kerja Untuk Indonesia,@kerjauntukindo,2021-07-31T06:58:53.000Z,"Pada optimis ga nih Indonesia bisa jadi negara maju di tahun 2045? Kalo minkui sih optimis-optimis aja, soalnya Pak Menko Airlangga yang ngomong xixi... Orang pemulihan ekonomi kemarin aja bisa beliau prediksikan dengan tepat.
#airlanggahartarto #ekonomi #IndonesiaMaju",,1,,1
Finans Kahvesi,@haberFK,2021-08-02T08:06:29.000Z,"#Ekonomi | İmalat PMI son 6 ayın zirvesine yükseldi

Ekonomik büyümenin öncü göstergesi olan imalat sanayi #PMI, ocak ayından bu yana en güçlü iyileşmeye işaret etti.

Haziran ayında 51,3 olan #İSO İmalat PMI, temmuzda 54'e yükseldi.",,,1,1
Ngopi Dulu,@Coffee2Talks,2021-07-27T23:38:54.000Z,"Data Realisasi Investasi Semester I tahun 2021.
#invest 
#ekonomi
#IndonesiaPastiBisa",,,,
MrdEconomy,@EconomyMrd,2021-07-28T19:42:12.000Z,"Döviz Ekranı - 28.07.2021 Çarşamba
#ekonomi #döviz",,,,1
dika.reza,@dikareza6,2021-07-30T06:10:00.000Z,"Pengawasan Penyaluran Bantuan Sosial
#Ekonomi #Indonesia #Bansos",,,,1
EYT Berati Duruk,@beratiduruk,2021-07-29T10:47:59.000Z,"Erhan Usta’dan EYT açıklaması
@55erhanusta
  , EYT’nin çözümü için kısa sürede bir açıklama yapacaklarını belirterek, “Eğer bu hükümet önerimizi dikkate alıp çözmez ise söz veriyoruz, kendi iktidarımızda EYT sorununu çözeceğiz” dedi.
#EYT 
https://normhaber.com/erhan-ustadan-eyt-aciklamai-50086… # #Ekonomi #","Erhan Usta'dan EYT açıklama - Norm Haber
İYİ Parti Ekonomi Politikaları Başkanı Erhan Usta, EYT'nin çözümü için kısa sürede bir açıklama yapacaklarını belirterek, ""Eğer bu hükümet önerimizi dikkate alıp çözmez ise söz veriyoruz, kendi...
normhaber.com",,44,61
İlknur Ünsal,@unsalilknur,2021-07-29T03:31:10.000Z,#ekonomi ve #insan,,,,
Liralali998,@liralali998,2021-07-30T06:08:35.000Z,"Pengawasan Penyaluran Bantuan Sosial
#Ekonomi #Indonesia #Bansos",,,,1
Bekarbaba,@Bekarbaba3,2021-07-26T21:53:21.000Z,#EKONOMİ,,,,
chacaliz,@elischaca,2021-07-30T07:27:51.000Z,#Ekonomi #IndonesiaMaju,,,,
Doğru Sinyal,@DSinyal,2021-07-26T08:47:32.000Z,#dogrusinyal #dogru #forex #forextrader #fxtrader #fxturkiye #güvenilirforex #yurtdisiforex #forexsinyalleri #sinyal #fx #usdtry #usd #eur #eurusd #ekonomi #haber #finans #viop #borsa #stockmarket #hisse #hissesenedi #gunlukanaliz #günlükanaliz,,,,1
Liralali998,@liralali998,2021-07-30T06:08:19.000Z,"Pengawasan Penyaluran Bantuan Sosial
#Ekonomi #Indonesia #Bansos",,,,1
Pusula Finans,@PusulaFinans,2021-07-28T05:50:13.000Z,"NY Times gazetesinde Getir’in başarısı  kaleme alındı. #tur 
Tebrikler Getir! #getir 
@getir
 #ekonomi","Groceries in 10 Minutes: Delivery Start-Ups Crowd City Streets Across Globe
Venture capital’s newest darling is the online rapid grocery delivery industry. Getir, a six-year-old Turkish company, is trying to outpace its new competitors in a worldwide expansion.
nytimes.com",,1,1
Man Of Improvement,@ari_aditya,2021-07-28T15:00:45.000Z,"Perhelatan kejuaraan olahraga internasional dapat menjadi ajang memperkenalkan #pariwisata, diplomasi #ekonomi tentang kelebihan/potensi negara penyelenggara. Untuk ekonomi, Indonesia bisa memperkenalkan komoditas seperti batubara, nikel, CPO atau green energy.
Cc 
@cnbcindonesia",,,,
Liralali998,@liralali998,2021-07-30T06:08:16.000Z,"Pengawasan Penyaluran Bantuan Sosial
#Ekonomi #Indonesia #Bansos",,,,1
Ulusal Kanal,@ulusalkanal,2021-07-29T09:10:00.000Z,"Ekonomik güven endeksi 100,1'e yükseldi

#ekonomikgüvenendeksi #ekonomi #TÜİK","Ekonomik güven endeksi 100,1'e yükseldi
Türkiye İstatistik Kurumu (TÜİK), ekonomik güven endeksi verilerini açıkladı. Buna göre, ekonomik güven endeksi temmuzda yüzde 2,3 artışla 100,1'e yükseldi.
ulusal.com.tr",1,1,
MrdEconomy,@EconomyMrd,2021-07-27T19:18:24.000Z,"Döviz Ekranı - 27.07.2021 Salı
#ekonomi #döviz",,,,1
Briton Markets,@BritonMarkets,2021-08-01T18:44:17.000Z,"Briton Markets haftalık bültenini sizler için hazırladık.

Bültenimize aşağıdaki linkten ulaşabilirsiniz.

https://britonmarkets.com/en/haftalik-bulten…

Tüm #ekonomi haberleri ve piyasa analizleri için bizi takip edin.",,,5,7
Liralali998,@liralali998,2021-07-30T06:08:41.000Z,"Pengawasan Penyaluran Bantuan Sosial
#Ekonomi #Indonesia #Bansos",,,,1
Deli Türküm,@TwittirPaylasim,2021-07-27T01:29:27.000Z,"Buyurun #AKpartili Bir Seçmene Kulak Verelim.
İşte #Halk #İsyanda #Ekonomi #Batmış
Da #Göçmen Bakalım Derdindeyiz.
#Önceli #Kendi #Halkına #Ver.

Sonra Gelen Göçmenleri Düşün Halk #KuzuKuzuGideceksiniz Demekte Çok Haklı Her Gün Bir Yeni #Yolsuzluk.

Bir İç Güvenlik Sorunu Yeter",,,1,2
olay.com.tr,@OlayHaber_Bursa,2021-07-26T07:11:42.000Z,"Araç alım satımında yeni dönem! Sadece 20 lira...

https://olay.com.tr/arac-alim-satiminda-yeni-donem-sadece-20-lira-822669… #haber #sondakika #Ekonomi",,,,
nocontexthalk,@nocontexthalk,2021-07-25T11:00:06.000Z,"Sheep Dayıowski'nin kaleme aldığı Ekonomimiz Çok İyi Yeğen şimdi tüm raflarda! 
#nocontexthalk #ekonomi",,,,
Okezone,@okezonenews,2021-07-29T12:26:16.000Z,Sektor Pertanian Jadi Penyelamat Ekonomi RI di Masa Pandemi Covid-19 #LengkapCepatBeritanya #Keuangan #Ekonomi #Ekonomi #EkonomiIndonesia .,"Sektor Pertanian Jadi Penyelamat Ekonomi RI di Masa Pandemi Covid-19 : Okezone Economy
Sektor pangan dan pertanian akan menjaga stabilitas ekonomi nasional di tengah krisis ekonomi dan kesehatan akibat pandemi Covid19 - hot issue - okezone economy
economy.okezone.com",,1,1
A1 Capital,@A1CapitalMenkul,2021-07-30T05:20:15.000Z,"Günlük Bülten Yayında! 30 Temmuz tarihli günlük bültene ulaşmak için tıklayınız.

https://bit.ly/3zS6YMY

#A1Capital #günlükbülten #güncel #haber #yatırım #finans #yatırımcı #borsa #enflasyon #ekonomi #30temmuz",,,,2
